Age,Attrition,BusinessTravel,Department,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome
22,0,Non-Travel,Research & Development,Life Sciences,Female,3,Sales Executive,Divorced,108510
53,0,Travel_Rarely,Research & Development,Medical,Male,2,Manager,Married,21090
38,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Manufacturing Director,Single,37220
24,0,Non-Travel,Research & Development,Life Sciences,Male,3,Research Scientist,Divorced,93800
36,1,Travel_Rarely,Research & Development,Life Sciences,Male,1,Research Director,Single,54860
34,0,Travel_Rarely,Sales,Marketing,Male,4,Research Scientist,Single,27420
21,0,Travel_Rarely,Sales,Life Sciences,Male,2,Manufacturing Director,Single,137570
34,1,Travel_Rarely,Sales,Marketing,Female,2,Research Scientist,Single,84630
53,0,Travel_Rarely,Sales,Life Sciences,Male,5,Human Resources,Divorced,31620
32,1,Travel_Frequently,Research & Development,Medical,Female,2,Manufacturing Director,Single,165980
42,0,Travel_Rarely,Research & Development,Technical Degree,Male,2,Laboratory Technician,Married,66510
44,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Manufacturing Director,Married,23450
46,0,Travel_Rarely,Sales,Life Sciences,Female,1,Research Scientist,Single,34200
33,0,Travel_Rarely,Sales,Medical,Male,1,Manufacturing Director,Single,43730
44,0,Travel_Rarely,Human Resources,Life Sciences,Male,5,Healthcare Representative,Married,47590
30,0,Travel_Rarely,Research & Development,Technical Degree,Female,1,Research Scientist,Single,53010
39,1,Travel_Rarely,Human Resources,Medical,Male,1,Sales Executive,Married,36730
24,1,Travel_Rarely,Human Resources,Human Resources,Male,3,Sales Executive,Married,47680
43,0,Travel_Rarely,Sales,Technical Degree,Female,1,Research Director,Divorced,12740
50,1,Travel_Rarely,Research & Development,Medical,Male,1,Research Director,Married,49000
35,0,Travel_Rarely,Sales,Marketing,Male,3,Manufacturing Director,Married,104660
36,0,Travel_Rarely,Research & Development,Life Sciences,Female,4,Sales Executive,Married,170070
33,0,Travel_Frequently,Sales,Marketing,Male,4,Human Resources,Married,29090
35,0,Travel_Rarely,Research & Development,Medical,Male,1,Research Scientist,Divorced,57650
27,0,Travel_Rarely,Sales,Marketing,Female,3,Research Scientist,Divorced,45990
26,1,Travel_Rarely,Sales,Marketing,Male,2,Manager,Single,24040
27,0,Travel_Frequently,Sales,Life Sciences,Male,4,Healthcare Representative,Single,31720
30,0,Travel_Frequently,Research & Development,Medical,Male,1,Research Scientist,Single,20330
41,1,Travel_Rarely,Sales,Marketing,Male,2,Sales Executive,Married,102090
34,0,Non-Travel,Research & Development,Technical Degree,Female,1,Research Scientist,Single,86200
37,0,Travel_Rarely,Research & Development,Life Sciences,Female,3,Sales Executive,Married,20640
46,0,Travel_Frequently,Research & Development,Technical Degree,Male,3,Sales Executive,Single,40350
35,0,Travel_Rarely,Research & Development,Medical,Female,3,Research Scientist,Married,38380
48,1,Travel_Rarely,Research & Development,Technical Degree,Female,1,Sales Executive,Single,45910
28,1,Travel_Rarely,Research & Development,Medical,Male,1,Sales Executive,Single,25610
44,0,Travel_Rarely,Research & Development,Medical,Female,3,Research Scientist,Divorced,15630
35,0,Non-Travel,Research & Development,Technical Degree,Female,3,Manufacturing Director,Married,48980
26,0,Travel_Rarely,Research & Development,Life Sciences,Female,3,Sales Executive,Married,47890
33,0,Travel_Frequently,Sales,Life Sciences,Female,1,Human Resources,Single,31800
35,0,Travel_Frequently,Research & Development,Medical,Male,3,Manufacturing Director,Married,65490
35,0,Travel_Rarely,Human Resources,Life Sciences,Female,1,Laboratory Technician,Married,63880
31,0,Travel_Rarely,Sales,Life Sciences,Female,2,Research Scientist,Divorced,112440
37,0,Travel_Rarely,Sales,Marketing,Male,4,Human Resources,Divorced,160320
32,0,Travel_Rarely,Research & Development,Other,Male,2,Sales Executive,Married,23620
38,0,Travel_Frequently,Research & Development,Medical,Male,2,Manufacturing Director,Single,163280
50,0,Travel_Rarely,Sales,Marketing,Female,4,Research Scientist,Divorced,83760
59,0,Travel_Rarely,Research & Development,Technical Degree,Male,1,Laboratory Technician,Single,166060
36,0,Travel_Rarely,Sales,Marketing,Female,2,Sales Executive,Divorced,86060
55,0,Travel_Rarely,Research & Development,Medical,Male,3,Research Scientist,Divorced,22720
36,0,Travel_Frequently,Research & Development,Life Sciences,Female,2,Laboratory Technician,Single,20180
45,0,Travel_Rarely,Research & Development,Medical,Female,1,Sales Executive,Divorced,70830
35,0,Travel_Frequently,Human Resources,Other,Female,2,Sales Representative,Married,40840
36,1,Travel_Rarely,Sales,Life Sciences,Male,4,Laboratory Technician,Married,144110
59,0,Travel_Frequently,Research & Development,Life Sciences,Male,3,Research Scientist,Single,23080
29,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Sales Representative,Married,48410
31,0,Travel_Rarely,Research & Development,Medical,Female,3,Sales Executive,Single,42850
32,0,Travel_Rarely,Sales,Life Sciences,Male,2,Manufacturing Director,Married,97150
36,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Representative,Married,43200
31,0,Travel_Rarely,Research & Development,Medical,Female,2,Research Director,Single,21320
35,0,Travel_Rarely,Research & Development,Medical,Male,2,Healthcare Representative,Single,101240
45,0,Travel_Rarely,Human Resources,Human Resources,Female,1,Sales Executive,Married,54730
37,0,Travel_Rarely,Research & Development,Life Sciences,Female,3,Sales Executive,Single,52070
46,0,Travel_Rarely,Research & Development,Medical,Male,3,Manager,Divorced,164370
30,0,Travel_Rarely,Sales,Life Sciences,Male,4,Human Resources,Married,22960
35,0,Travel_Rarely,Research & Development,Life Sciences,Female,3,Human Resources,Single,40690
55,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Laboratory Technician,Married,74410
38,0,Non-Travel,Sales,Marketing,Male,2,Laboratory Technician,Divorced,24300
34,0,Travel_Rarely,Research & Development,Medical,Male,1,Research Scientist,Married,58780
56,0,Travel_Rarely,Human Resources,Medical,Male,2,Sales Executive,Single,26440
23,0,Travel_Rarely,Research & Development,Medical,Male,2,Laboratory Technician,Divorced,64390
51,0,Travel_Rarely,Research & Development,Life Sciences,Female,5,Manufacturing Director,Married,24510
30,0,Travel_Rarely,Sales,Technical Degree,Male,1,Sales Representative,Married,63920
46,1,Travel_Rarely,Sales,Medical,Female,2,Research Scientist,Single,97140
40,0,Travel_Frequently,Research & Development,Medical,Male,1,Healthcare Representative,Married,60770
51,0,Travel_Rarely,Research & Development,Life Sciences,Female,5,Sales Representative,Single,24500
30,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Manufacturing Director,Divorced,92500
46,0,Travel_Frequently,Research & Development,Medical,Male,1,Laboratory Technician,Married,20740
32,0,Travel_Rarely,Sales,Marketing,Male,1,Research Scientist,Single,101690
54,0,Travel_Rarely,Research & Development,Medical,Female,1,Laboratory Technician,Married,48550
24,0,Travel_Rarely,Sales,Marketing,Male,2,Research Scientist,Married,40870
28,0,Non-Travel,Sales,Medical,Male,2,Laboratory Technician,Married,23670
58,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Executive,Single,29720
44,0,Non-Travel,Research & Development,Medical,Female,1,Research Scientist,Married,195860
37,1,Travel_Rarely,Human Resources,Human Resources,Male,2,Healthcare Representative,Divorced,54840
32,0,Travel_Rarely,Human Resources,Human Resources,Female,1,Sales Representative,Single,20610
20,1,Travel_Frequently,Sales,Life Sciences,Female,2,Healthcare Representative,Single,99240
34,0,Travel_Rarely,Research & Development,Other,Male,4,Laboratory Technician,Single,41980
37,0,Non-Travel,Sales,Life Sciences,Male,1,Research Scientist,Divorced,68150
59,0,Non-Travel,Research & Development,Life Sciences,Male,2,Sales Executive,Married,47230
50,0,Travel_Frequently,Research & Development,Medical,Male,4,Research Scientist,Married,61420
25,1,Travel_Rarely,Sales,Marketing,Male,2,Research Director,Single,82370
25,0,Travel_Rarely,Research & Development,Technical Degree,Male,1,Laboratory Technician,Married,88530
22,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Sales Representative,Single,193310
51,0,Travel_Frequently,Research & Development,Life Sciences,Female,1,Sales Executive,Single,20730
34,1,Travel_Frequently,Human Resources,Life Sciences,Female,5,Sales Executive,Single,55620
54,0,Non-Travel,Research & Development,Life Sciences,Male,1,Laboratory Technician,Single,196130
24,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Laboratory Technician,Married,34070
34,0,Travel_Rarely,Sales,Marketing,Female,2,Sales Representative,Divorced,50630
37,0,Travel_Rarely,Sales,Technical Degree,Male,1,Laboratory Technician,Single,46390
34,0,Travel_Rarely,Sales,Medical,Male,2,Healthcare Representative,Single,48760
36,0,Travel_Frequently,Human Resources,Medical,Male,1,Research Scientist,Married,26900
36,0,Travel_Rarely,Research & Development,Medical,Female,2,Manufacturing Director,Divorced,175670
43,0,Travel_Frequently,Research & Development,Life Sciences,Male,1,Sales Executive,Married,24080
30,0,Travel_Frequently,Research & Development,Life Sciences,Female,3,Healthcare Representative,Divorced,28140
33,0,Non-Travel,Sales,Life Sciences,Male,2,Sales Executive,Married,112450
56,1,Travel_Rarely,Research & Development,Life Sciences,Male,2,Laboratory Technician,Married,33120
51,0,Travel_Rarely,Research & Development,Other,Female,2,Sales Representative,Single,190490
31,1,Travel_Rarely,Research & Development,Technical Degree,Female,3,Sales Executive,Married,21410
26,0,Travel_Rarely,Sales,Medical,Female,2,Manager,Married,57690
58,1,Travel_Rarely,Sales,Medical,Female,1,Research Scientist,Married,43850
19,1,Travel_Rarely,Research & Development,Life Sciences,Male,1,Manager,Single,53320
22,0,Travel_Rarely,Sales,Technical Degree,Male,1,Sales Executive,Married,46630
49,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Sales Executive,Married,47240
43,0,Travel_Frequently,Sales,Life Sciences,Male,1,Sales Executive,Single,32110
50,0,Travel_Frequently,Research & Development,Life Sciences,Male,2,Sales Executive,Single,53770
31,1,Travel_Rarely,Research & Development,Medical,Female,2,Sales Executive,Married,40660
41,0,Travel_Rarely,Research & Development,Other,Male,1,Manufacturing Director,Divorced,52080
26,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Executive,Married,48770
36,0,Travel_Rarely,Human Resources,Human Resources,Male,2,Research Scientist,Divorced,31170
51,1,Travel_Frequently,Research & Development,Life Sciences,Female,1,Manager,Single,15690
39,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Research Scientist,Married,196580
25,0,Travel_Rarely,Sales,Medical,Female,3,Research Scientist,Married,30690
30,0,Travel_Rarely,Research & Development,Medical,Male,2,Laboratory Technician,Married,104350
32,1,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Director,Single,41480
45,0,Travel_Rarely,Research & Development,Technical Degree,Female,2,Healthcare Representative,Single,57680
38,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Director,Single,50420
30,0,Travel_Rarely,Sales,Marketing,Female,2,Laboratory Technician,Single,57700
32,0,Travel_Frequently,Sales,Marketing,Male,3,Laboratory Technician,Divorced,77560
30,0,Travel_Rarely,Research & Development,Medical,Female,3,Sales Executive,Divorced,103060
30,0,Travel_Rarely,Sales,Medical,Male,2,Research Scientist,Single,39360
41,0,Travel_Frequently,Sales,Medical,Female,3,Manufacturing Director,Divorced,79450
41,0,Travel_Rarely,Research & Development,Medical,Male,4,Research Scientist,Married,57430
19,0,Travel_Rarely,Research & Development,Other,Female,5,Manufacturing Director,Single,152020
40,0,Travel_Frequently,Research & Development,Medical,Male,2,Manufacturing Director,Divorced,54400
35,0,Travel_Rarely,Sales,Marketing,Female,3,Laboratory Technician,Married,37600
53,0,Travel_Rarely,Sales,Life Sciences,Female,5,Manufacturing Director,Married,35170
45,0,Travel_Rarely,Sales,Technical Degree,Male,1,Research Scientist,Divorced,25800
32,0,Travel_Frequently,Sales,Life Sciences,Female,1,Manufacturing Director,Single,21660
29,0,Non-Travel,Research & Development,Technical Degree,Male,3,Healthcare Representative,Married,58690
51,0,Travel_Rarely,Research & Development,Other,Female,3,Research Director,Married,80080
58,0,Travel_Rarely,Sales,Marketing,Female,1,Research Scientist,Married,52060
40,0,Travel_Rarely,Research & Development,Technical Degree,Male,4,Laboratory Technician,Married,52950
34,0,Travel_Frequently,Sales,Marketing,Male,2,Manufacturing Director,Married,164130
22,0,Travel_Rarely,Research & Development,Medical,Male,1,Laboratory Technician,Married,132690
27,0,Non-Travel,Research & Development,Medical,Male,1,Healthcare Representative,Divorced,27830
28,0,Travel_Rarely,Sales,Life Sciences,Male,2,Healthcare Representative,Married,54330
57,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Manufacturing Director,Divorced,20130
27,0,Non-Travel,Research & Development,Life Sciences,Male,1,Manufacturing Director,Divorced,139660
50,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Manufacturing Director,Single,43740
41,0,Travel_Rarely,Sales,Marketing,Male,4,Laboratory Technician,Divorced,68420
30,0,Travel_Rarely,Human Resources,Human Resources,Female,1,Manager,Married,174260
38,0,Travel_Rarely,Sales,Medical,Male,2,Laboratory Technician,Single,176030
32,0,Travel_Rarely,Research & Development,Medical,Female,1,Manufacturing Director,Single,45810
27,0,Travel_Rarely,Research & Development,Medical,Male,2,Healthcare Representative,Married,47350
19,1,Travel_Frequently,Research & Development,Life Sciences,Male,2,Healthcare Representative,Single,41870
36,0,Travel_Frequently,Sales,Marketing,Female,2,Research Director,Single,55050
30,0,Non-Travel,Sales,Medical,Female,1,Sales Executive,Divorced,54700
45,0,Travel_Rarely,Research & Development,Medical,Male,2,Sales Executive,Divorced,54760
56,0,Travel_Rarely,Research & Development,Life Sciences,Male,4,Manager,Divorced,25870
33,0,Travel_Rarely,Research & Development,Medical,Male,1,Sales Executive,Single,24400
19,1,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Executive,Single,159720
46,0,Travel_Rarely,Research & Development,Technical Degree,Female,2,Laboratory Technician,Divorced,153790
38,0,Travel_Rarely,Sales,Life Sciences,Male,1,Manufacturing Director,Single,70820
31,0,Travel_Rarely,Sales,Life Sciences,Male,2,Sales Representative,Married,27280
34,0,Travel_Rarely,Sales,Marketing,Female,2,Manager,Single,53680
41,1,Travel_Rarely,Research & Development,Life Sciences,Male,5,Laboratory Technician,Single,53470
50,0,Travel_Rarely,Sales,Marketing,Male,3,Sales Executive,Married,31950
53,0,Travel_Rarely,Sales,Life Sciences,Male,1,Manager,Divorced,39890
33,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Human Resources,Married,33060
40,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Sales Executive,Married,70050
55,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Laboratory Technician,Single,26550
34,0,Travel_Frequently,Human Resources,Other,Female,1,Research Scientist,Married,13930
51,0,Travel_Rarely,Human Resources,Human Resources,Male,2,Sales Representative,Single,25700
52,0,Travel_Rarely,Research & Development,Medical,Female,2,Sales Representative,Married,35370
27,0,Travel_Rarely,Sales,Marketing,Male,1,Research Scientist,Single,39860
35,1,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Director,Married,108830
43,0,Non-Travel,Research & Development,Medical,Male,1,Healthcare Representative,Divorced,20280
45,0,Non-Travel,Research & Development,Medical,Female,1,Sales Executive,Married,95250
37,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Research Scientist,Married,29290
35,0,Travel_Frequently,Research & Development,Other,Male,2,Research Director,Single,22750
42,0,Non-Travel,Research & Development,Technical Degree,Male,2,Sales Executive,Divorced,78790
38,0,Travel_Rarely,Sales,Marketing,Male,5,Research Scientist,Married,49300
38,0,Travel_Rarely,Human Resources,Human Resources,Female,1,Manufacturing Director,Married,78470
27,0,Travel_Frequently,Research & Development,Medical,Male,1,Manager,Married,44010
49,0,Non-Travel,Research & Development,Other,Female,2,Sales Executive,Divorced,92410
34,0,Travel_Frequently,Research & Development,Medical,Male,4,Sales Representative,Divorced,29740
40,0,Travel_Rarely,Research & Development,Medical,Female,1,Laboratory Technician,Married,45020
38,1,Travel_Rarely,Sales,Life Sciences,Female,3,Research Scientist,Married,107480
29,1,Travel_Rarely,Sales,Life Sciences,Female,2,Research Scientist,Married,15550
22,0,Travel_Rarely,Research & Development,Life Sciences,Female,4,Healthcare Representative,Divorced,129360
36,0,Travel_Frequently,Research & Development,Life Sciences,Female,2,Laboratory Technician,Single,23050
40,0,Non-Travel,Research & Development,Life Sciences,Male,1,Manufacturing Director,Married,167040
46,0,Travel_Rarely,Research & Development,Medical,Male,5,Research Scientist,Divorced,34330
32,1,Travel_Rarely,Research & Development,Medical,Male,1,Healthcare Representative,Married,34770
30,0,Non-Travel,Research & Development,Life Sciences,Male,2,Healthcare Representative,Single,64300
27,0,Travel_Frequently,Research & Development,Medical,Female,1,Laboratory Technician,Single,65160
51,0,Travel_Rarely,Research & Development,Medical,Female,1,Manufacturing Director,Married,39070
30,1,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Scientist,Single,55620
41,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Human Resources,Single,68830
30,1,Travel_Frequently,Sales,Medical,Male,2,Healthcare Representative,Single,28620
29,1,Travel_Rarely,Research & Development,Life Sciences,Male,1,Sales Executive,Single,49780
45,0,Non-Travel,Research & Development,Medical,Female,2,Research Scientist,Single,103680
54,0,Travel_Rarely,Sales,Marketing,Female,2,Laboratory Technician,Married,61340
36,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Healthcare Representative,Single,67350
33,0,Travel_Rarely,Sales,Other,Female,3,Sales Executive,Married,32950
37,0,Travel_Frequently,Sales,Life Sciences,Male,2,Laboratory Technician,Divorced,52380
38,0,Travel_Rarely,Research & Development,Medical,Male,4,Laboratory Technician,Divorced,64720
31,0,Non-Travel,Sales,Medical,Female,3,Research Scientist,Married,96100
59,0,Travel_Rarely,Research & Development,Life Sciences,Female,3,Manager,Married,198330
37,0,Travel_Frequently,Sales,Marketing,Female,2,Laboratory Technician,Divorced,97560
29,0,Travel_Frequently,Sales,Medical,Female,1,Sales Executive,Married,49680
35,0,Travel_Frequently,Research & Development,Life Sciences,Female,1,Sales Executive,Single,21450
29,1,Travel_Rarely,Research & Development,Life Sciences,Female,1,Research Scientist,Single,21800
52,0,Travel_Rarely,Research & Development,Medical,Female,4,Manager,Single,83460
42,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Sales Executive,Married,34450
59,0,Travel_Rarely,Research & Development,Technical Degree,Male,1,Healthcare Representative,Married,27600
50,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Executive,Divorced,62940
33,1,Travel_Rarely,Sales,Marketing,Male,1,Research Scientist,Married,71400
43,0,Travel_Rarely,Sales,Marketing,Female,2,Manufacturing Director,Married,29320
33,1,Travel_Rarely,Sales,Life Sciences,Male,2,Manager,Married,51470
52,0,Non-Travel,Research & Development,Technical Degree,Male,1,Sales Executive,Single,45070
32,0,Travel_Rarely,Human Resources,Life Sciences,Female,3,Manufacturing Director,Married,85640
32,1,Travel_Rarely,Sales,Life Sciences,Male,3,Healthcare Representative,Single,24680
39,0,Travel_Rarely,Sales,Life Sciences,Male,2,Research Director,Divorced,81610
32,0,Non-Travel,Sales,Marketing,Male,4,Research Scientist,Married,21090
41,0,Travel_Rarely,Sales,Life Sciences,Female,2,Laboratory Technician,Divorced,52940
40,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Manufacturing Director,Divorced,27180
45,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Sales Representative,Married,58110
31,0,Travel_Frequently,Research & Development,Medical,Male,1,Research Scientist,Divorced,24370
33,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Sales Executive,Married,27660
34,0,Travel_Rarely,Research & Development,Other,Female,1,Sales Executive,Married,190380
37,0,Travel_Rarely,Research & Development,Medical,Female,2,Manufacturing Director,Married,30550
45,0,Travel_Frequently,Sales,Marketing,Male,3,Research Scientist,Married,22890
37,1,Travel_Frequently,Sales,Marketing,Male,1,Laboratory Technician,Divorced,40010
39,0,Travel_Frequently,Research & Development,Medical,Female,1,Manufacturing Director,Single,129650
29,0,Travel_Rarely,Sales,Other,Female,2,Human Resources,Single,35390
42,0,Travel_Rarely,Research & Development,Medical,Female,1,Research Scientist,Single,60290
29,0,Travel_Rarely,Research & Development,Medical,Male,1,Laboratory Technician,Divorced,26790
25,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Executive,Married,37020
42,0,Travel_Rarely,Sales,Medical,Male,1,Laboratory Technician,Divorced,23980
40,0,Travel_Rarely,Research & Development,Medical,Male,2,Laboratory Technician,Divorced,54680
51,0,Travel_Rarely,Sales,Life Sciences,Female,1,Healthcare Representative,Married,131160
31,1,Travel_Frequently,Research & Development,Life Sciences,Female,1,Research Scientist,Single,41890
32,0,Travel_Frequently,Research & Development,Other,Male,4,Sales Executive,Married,193280
38,0,Non-Travel,Research & Development,Life Sciences,Male,3,Human Resources,Married,83210
32,0,Travel_Rarely,Research & Development,Medical,Male,1,Sales Executive,Single,23420
46,0,Travel_Rarely,Research & Development,Life Sciences,Female,4,Research Director,Married,40710
28,1,Travel_Rarely,Research & Development,Medical,Male,2,Sales Executive,Single,58130
29,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Sales Executive,Married,31430
31,0,Travel_Rarely,Research & Development,Life Sciences,Male,3,Laboratory Technician,Married,20440
25,0,Non-Travel,Research & Development,Medical,Female,4,Laboratory Technician,Divorced,134640
45,0,Travel_Rarely,Research & Development,Medical,Male,2,Laboratory Technician,Married,79910
36,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Laboratory Technician,Married,33770
55,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Sales Executive,Single,55380
47,1,Non-Travel,Research & Development,Medical,Male,1,Research Scientist,Married,57620
28,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Manufacturing Director,Married,25920
37,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Healthcare Representative,Married,53460
21,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Laboratory Technician,Single,42130
37,0,Non-Travel,Research & Development,Medical,Male,2,Sales Executive,Divorced,41270
35,0,Travel_Rarely,Sales,Life Sciences,Male,1,Sales Representative,Divorced,24380
38,0,Travel_Rarely,Research & Development,Life Sciences,Female,1,Manager,Divorced,68700
26,0,Travel_Frequently,Research & Development,Other,Male,2,Laboratory Technician,Divorced,104470
50,0,Travel_Rarely,Sales,Life Sciences,Male,1,Research Scientist,Divorced,96670
53,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Scientist,Married,21480
42,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Manufacturing Director,Married,89260
29,0,Travel_Frequently,Research & Development,Medical,Male,1,Laboratory Technician,Single,65130
55,0,Travel_Rarely,Research & Development,Other,Female,1,Research Scientist,Married,67990
26,0,Travel_Frequently,Research & Development,Life Sciences,Female,1,Manager,Married,162910
37,0,Travel_Rarely,Sales,Marketing,Male,1,Research Scientist,Single,27050
44,1,Travel_Frequently,Research & Development,Medical,Male,2,Research Scientist,Divorced,103330
38,0,Travel_Rarely,Sales,Marketing,Female,1,Manager,Divorced,44480
26,1,Travel_Rarely,Research & Development,Medical,Male,3,Research Scientist,Divorced,68540
28,0,Travel_Rarely,Research & Development,Other,Male,1,Human Resources,Single,96370
49,0,Travel_Frequently,Research & Development,Medical,Female,2,Research Scientist,Single,35910
36,0,Travel_Rarely,Sales,Technical Degree,Male,3,Sales Executive,Single,54050
31,0,Travel_Frequently,Research & Development,Medical,Male,1,Sales Executive,Divorced,46840
26,1,Travel_Rarely,Research & Development,Medical,Male,2,Manager,Single,157870
37,0,Travel_Frequently,Sales,Marketing,Male,1,Laboratory Technician,Married,15140
42,0,Travel_Frequently,Sales,Marketing,Male,3,Research Director,Married,29560
18,1,Travel_Rarely,Research & Development,Life Sciences,Male,1,Sales Executive,Single,23350
35,0,Travel_Rarely,Sales,Life Sciences,Male,1,Laboratory Technician,Married,51540
36,0,Travel_Frequently,Research & Development,Other,Female,3,Sales Executive,Married,69620
51,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Laboratory Technician,Divorced,56750
41,0,Travel_Rarely,Research & Development,Life Sciences,Male,1,Laboratory Technician,Single,23790
18,0,Travel_Rarely,Sales,Life Sciences,Male,1,Research Scientist,Single,38120
28,0,Travel_Rarely,Research & Development,Medical,Male,1,Sales Representative,Single,46480
31,0,Travel_Rarely,Research & Development,Technical Degree,Male,1,Manufacturing Director,Married,29360
39,0,Travel_Rarely,Sales,Marketing,Female,2,Human Resources,Divorced,21050
36,0,Non-Travel,Research & Development,Life Sciences,Male,1,Sales Executive,Married,85780
32,0,Travel_Rarely,Sales,Marketing,Male,2,Laboratory Technician,Married,27060
38,0,Travel_Rarely,Research & Development,Life Sciences,Female,3,Research Scientist,Married,63840
58,0,Non-Travel,Research & Development,Life Sciences,Male,2,Manufacturing Director,Divorced,39680
31,0,Travel_Rarely,Research & Development,Technical Degree,Female,3,Research Scientist,Married,99070
31,0,Travel_Rarely,Sales,Marketing,Male,2,Sales Executive,Married,132250
45,0,Travel_Frequently,Research & Development,Medical,Female,1,Sales Executive,Divorced,35400
31,0,Travel_Rarely,Sales,Marketing,Female,2,Research Scientist,Divorced,28040
33,0,Travel_Frequently,Research & Development,Life Sciences,Male,4,Research Director,Married,193920
39,0,Travel_Rarely,Sales,Life Sciences,Male,1,Sales Executive,Married,196650
43,0,Travel_Frequently,Research & Development,Medical,Male,4,Research Scientist,Single,24390
49,0,Travel_Rarely,Research & Development,Life Sciences,Male,3,Manufacturing Director,Single,73140
52,1,Travel_Rarely,Research & Development,Life Sciences,Female,2,Research Scientist,Married,47740
27,0,Travel_Rarely,Research & Development,Medical,Male,3,Research Scientist,Single,39020
32,0,Travel_Rarely,Research & Development,Life Sciences,Male,3,Research Scientist,Married,26620
27,0,Travel_Rarely,Research & Development,Medical,Female,4,Research Director,Single,28560
31,0,Travel_Rarely,Sales,Life Sciences,Male,2,Healthcare Representative,Divorced,10810
32,0,Travel_Rarely,Research & Development,Technical Degree,Male,2,Healthcare Representative,Single,24720
28,1,Travel_Rarely,Research & Development,Medical,Male,1,Sales Executive,Married,56730
30,0,Travel_Rarely,Research & Development,Life Sciences,Female,4,Research Director,Married,41970
31,0,Travel_Frequently,Research & Development,Life Sciences,Female,1,Manager,Married,97130
39,0,Travel_Frequently,Research & Development,Medical,Female,1,Research Scientist,Married,20620
39,1,Travel_Rarely,Research & Development,Medical,Female,1,Laboratory Technician,Married,42840
33,0,Travel_Frequently,Sales,Life Sciences,Male,4,Research Scientist,Single,47880
47,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Healthcare Representative,Married,59060
43,0,Travel_Frequently,Research & Development,Medical,Female,5,Research Director,Divorced,38860
27,0,Non-Travel,Research & Development,Life Sciences,Male,1,Research Director,Married,168230
54,0,Travel_Frequently,Research & Development,Life Sciences,Male,2,Research Scientist,Single,29330
43,0,Travel_Rarely,Research & Development,Life Sciences,Female,2,Manager,Married,65000
45,0,Travel_Rarely,Sales,Marketing,Female,1,Sales Executive,Married,171740
40,0,Travel_Rarely,Research & Development,Other,Male,4,Research Scientist,Married,50330
29,1,Travel_Rarely,Research & Development,Medical,Female,1,Research Scientist,Married,23070
29,0,Travel_Rarely,Human Resources,Medical,Male,3,Sales Representative,Single,25870
30,0,Travel_Rarely,Research & Development,Life Sciences,Male,2,Research Scientist,Divorced,55070
27,0,Travel_Rarely,Research & Development,Medical,Male,1,Manager,Married,43930
37,0,Travel_Rarely,Sales,Life Sciences,Male,2,Healthcare Representative,Divorced,133480
38,0,Travel_Rarely,Research & Development,Medical,Male,1,Laboratory Technician,Divorced,65830
31,0,Travel_Rarely,Research & Development,Medical,Female,3,Manager,Single,81030
29,0,Travel_Rarely,Research & Development,Life Sciences,Male,3,Sales Executive,Divorced,39780
